GEOID,Civilian_EST,Tot1,Veteran_EST,Tot2
6037218600,2563,2593,30,2593
6037218701,1841,1916,75,1916
6037218702,1656,1719,63,1719
6037218800,2363,2460,97,2460
6037218900,4664,4795,131,4795
6037219010,2474,2507,33,2507
6037219020,3486,3571,85,3571
6037219300,2985,3163,178,3163
6037219500,1438,1540,102,1540
6037219700,3389,3491,102,3491
6037219800,2270,2309,39,2309
6037219901,3374,3418,44,3418
6037219902,2932,2967,35,2967
6037220000,4316,4460,144,4460
6037220100,2136,2229,93,2229
6037221110,2855,2871,16,2871
6037221120,2432,2474,42,2474
6037221210,2465,2536,71,2536
6037221220,2897,2928,31,2928
6037221302,4180,4238,58,4238
6037221303,2218,2264,46,2264
6037221304,2847,2901,54,2901
6037221401,2629,2717,88,2717
6037221402,2289,2398,109,2398
6037221500,2962,3101,139,3101
6037221601,2299,2344,45,2344
6037221602,2103,2116,13,2116
6037221710,2152,2179,27,2179
6037221810,2300,2331,31,2331
6037221820,2380,2406,26,2406
6037221900,3327,3327,0,3327
6037222001,2310,2385,75,2385
6037222002,3456,3513,57,3513
6037222100,3182,3224,42,3224
6037222200,2780,2840,60,2840
6037222500,3798,3848,50,3848
6037222600,4535,4571,36,4571
6037222700,4085,4090,5,4090
6037224010,1957,1971,14,1971
6037224020,1958,1958,0,1958
6037224200,1915,1918,3,1918
6037224310,1419,1443,24,1443
6037224320,2412,2430,18,2430
6037224410,2844,2870,26,2870
6037224420,1940,1963,23,1963
6037224600,2453,2488,35,2488
6037224700,6392,6410,18,6410
6037226001,1649,1654,5,1654
6037226002,1563,1591,28,1591
6037226410,2522,2526,4,2526
6037226420,4010,4010,0,4010
6037226700,4686,4686,0,4686
6037227010,3359,3372,13,3372
6037227020,2494,2526,32,2526
6037228100,3430,3441,11,3441
6037228210,2768,2804,36,2804
6037228220,2919,2950,31,2950
6037228310,3182,3198,16,3198
6037228320,2160,2192,32,2192
6037228410,2472,2472,0,2472
6037228420,2201,2201,0,2201
6037228500,3408,3481,73,3481
6037228600,3245,3293,48,3293
6037228710,2590,2641,51,2641
6037228720,3126,3150,24,3150
6037228800,3481,3533,52,3533
6037228900,1760,1772,12,1772
6037229100,3509,3516,7,3516
6037229200,3346,3407,61,3407
6037229300,3662,3708,46,3708
6037229410,2249,2249,0,2249
6037229420,3134,3169,35,3169
6037231100,2637,2694,57,2694
6037231210,2544,2574,30,2574
6037231220,3333,3363,30,3363
6037231300,4160,4256,96,4256
6037231400,4148,4278,130,4278
6037231500,3722,3812,90,3812
6037231600,5085,5226,141,5226
6037231710,2751,2775,24,2775
6037231720,3680,3739,59,3739
6037231800,3403,3446,43,3446
6037231900,3717,3735,18,3735
6037232110,2154,2175,21,2175
6037232120,3858,3867,9,3867
6037232200,2406,2500,94,2500
6037232300,3915,4063,148,4063
6037232400,5341,5506,165,5506
6037232500,3407,3557,150,3557
6037232600,4441,4509,68,4509
6037232700,4553,4634,81,4634
6037232800,2646,2650,4,2650
6037234000,4182,4365,183,4365
6037234200,2001,2056,55,2056
6037234300,3512,3712,200,3712
6037234501,2063,2178,115,2178
6037234502,2329,2455,126,2455
6037234600,3750,3884,134,3884
6037234700,2929,3065,136,3065
6037234800,2808,2915,107,2915
6037234901,1853,1924,71,1924
6037234902,2896,2983,87,2983
6037235100,3979,4141,162,4141
6037235201,2317,2478,161,2478
6037235202,3606,3767,161,3767
6037236000,4038,4283,245,4283
6037236100,4641,4952,311,4952
6037236202,4374,4541,167,4541
6037236203,2560,2726,166,2726
6037236204,2200,2325,125,2325
6037236400,3717,3950,233,3950
6037237101,2710,2755,45,2755
6037237102,2256,2271,15,2271
