GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Veteran_EST,Veteran_MOE,Veteran_EST_Percentage,Veteran_MOE_Percentage
6037482304,2829,237,34,63,1.2,1
6037532102,3048,235,34,68,1.1,1.1
6037534201,3034,215,34,70,1.1,1.3
6037601801,2425,195,34,89,1.4,2
6037104403,2535,281,35,10,1.4,1.4
6037115103,3397,294,35,14,1,0.6
6037117510,2581,260,35,15,1.4,1.3
6037127603,1970,180,35,21,1.8,1.4
6037194402,3481,297,35,31,1,1.1
6037195600,2791,259,35,31,1.3,1.4
6037209520,1961,207,35,34,1.8,1.2
6037211701,2288,225,35,35,1.5,1.6
6037212420,2749,336,35,36,1.3,1.2
6037218300,4161,425,35,37,0.8,1
6037219902,2932,321,35,38,1.2,0.9
6037224600,2453,211,35,39,1.4,1.2
6037229420,3134,248,35,40,1.1,0.8
6037239310,2834,285,35,42,1.2,1
6037272202,3140,227,35,45,1.1,1.4
6037294810,2753,221,35,47,1.3,0.9
6037301802,3350,266,35,49,1,1
6037302503,3461,270,35,49,1,1
6037402706,3178,261,35,52,1.1,1
6037536104,2958,179,35,71,1.2,1
6037575801,1508,158,35,85,2.3,2.2
6037800330,788,69,35,108,4.4,2.8
6037980015,419,93,35,182,8.4,6.9
6037127806,2370,261,36,21,1.5,1.6
6037195803,2405,243,36,31,1.5,1.1
6037201200,1908,169,36,32,1.9,1.5
6037206010,2795,379,36,33,1.3,1.6
6037211121,1776,173,36,35,2,1.3
6037211802,3560,351,36,35,1,0.9
6037215101,2703,272,36,36,1.3,1.2
6037222600,4535,428,36,38,0.8,0.7
6037228210,2768,244,36,39,1.3,0.9
6037267600,2273,254,36,44,1.6,1.3
6037310701,2070,177,36,50,1.7,1.4
6037532001,2331,308,36,68,1.5,1.8
6037104620,2543,215,37,11,1.5,1.1
6037107010,2314,205,37,12,1.6,1.8
6037120106,3060,282,37,17,1.2,1.1
6037121020,2958,238,37,17,1.3,1.2
6037123902,2223,192,37,19,1.7,1.3
6037124102,3108,303,37,19,1.2,1
6037134520,4473,295,37,24,0.8,0.9
6037187101,2752,304,37,28,1.3,1
6037189800,3640,298,37,29,1,1.2
6037209510,2190,199,37,34,1.7,1.2
6037212203,2389,236,37,35,1.5,1.6
6037240401,3739,430,37,42,1,0.8
6037408501,2531,180,37,56,1.5,1
6037501804,1486,128,37,64,2.5,2.2
6037533602,3863,358,37,69,1,0.7
6037534501,3949,333,37,70,0.9,0.8
6037554103,1261,187,37,78,2.9,1.7
