GEOID,Veteran_Percent_EST
6037228900,0.7
6037229100,0.2
6037229200,1.8
6037229300,1.3
6037229410,0
6037229420,1.1
6037231100,2.2
6037231210,1.2
6037231220,0.9
6037231300,2.3
6037231400,3.1
6037231500,2.4
6037231600,2.8
6037231710,0.9
6037231720,1.6
6037231800,1.3
6037231900,0.5
6037232110,1
6037232120,0.2
6037232200,3.9
6037232300,3.8
6037232400,3.1
6037232500,4.4
6037232600,1.5
6037232700,1.8
6037232800,0.2
6037234000,4.4
6037234200,2.7
6037234300,5.7
6037234501,5.6
6037234502,5.4
6037234600,3.6
6037234700,4.6
6037234800,3.8
6037234901,3.8
6037234902,3
6037235100,4.1
6037235201,6.9
6037235202,4.5
6037236000,6.1
6037236100,6.7
6037236202,3.8
6037236203,6.5
6037236204,5.7
6037236400,6.3
6037237101,1.7
6037237102,0.7
6037237201,1.9
6037237202,1.9
6037237300,4.7
6037237401,3.5
6037237402,4.6
6037237500,0.9
6037237600,3
6037237710,1.3
6037237720,2.1
6037237800,6.7
6037237900,3.9
6037238000,3.3
6037238100,6.3
6037238200,5.6
6037238310,2.3
6037238320,1.3
6037238400,8.7
6037239201,1.1
6037239202,0.5
6037239310,1.2
6037239320,0.9
6037239330,0.3
6037239501,0.7
6037239502,2.5
6037239601,2.5
6037239602,1.6
6037239701,0.4
6037239702,1.6
6037239801,1
6037239802,1.4
6037240010,0.6
6037240020,3.5
6037240200,0.7
6037240300,1.4
6037240401,1
6037240402,2.8
6037240500,1.4
6037240600,0.5
6037240700,0.2
6037240800,1.4
6037240900,2.8
6037241001,1.7
6037241002,4.1
6037241110,0.8
6037241120,3
6037241201,2.4
6037241202,3.8
6037241300,1.1
6037241400,0.6
6037242000,4.4
6037242100,0
6037242200,0.7
6037242300,1.7
6037242600,0.8
6037242700,1.7
6037243000,0.8
6037243100,1.3
6037261101,3.3
6037261102,6.8
6037261200,4.2
6037262100,3.9
6037262200,3.6
6037262301,2.6
6037262302,2.9
6037262303,5.2
