GEOID,GEO_id2,Civilian_EST,Civilian_MOE,Veteran_EST,Veteran_MOE,Veteran_Percent_EST,Veteran_Percent_MOE,Total_POP_EST
6037127603,6037127603,1970,180,35,27,1.8,1.4,2005
6037127604,6037127604,2482,234,49,24,2,0.9,2531
6037127605,6037127605,3069,365,52,50,1.7,1.6,3121
6037127606,6037127606,2640,270,93,49,3.5,1.8,2733
6037127711,6037127711,2676,260,74,63,2.8,2.4,2750
6037127712,6037127712,2387,211,67,55,2.8,2.3,2454
6037127803,6037127803,3246,306,61,36,1.9,1.2,3307
6037127804,6037127804,3355,214,84,50,2.5,1.5,3439
6037127805,6037127805,3056,275,10,16,0.3,0.5,3066
6037127806,6037127806,2370,261,36,37,1.5,1.6,2406
6037127910,6037127910,3911,399,73,40,1.9,1,3984
6037127920,6037127920,3314,240,72,51,2.2,1.5,3386
6037128101,6037128101,2942,255,53,40,1.8,1.3,2995
6037128102,6037128102,3770,374,84,57,2.2,1.6,3854
6037128210,6037128210,3619,282,44,42,1.2,1.2,3663
6037128220,6037128220,2465,280,44,33,1.8,1.4,2509
6037128302,6037128302,3562,293,55,42,1.5,1.2,3617
6037128303,6037128303,2621,290,55,47,2.1,1.8,2676
6037128400,6037128400,3245,260,102,58,3.1,1.8,3347
6037128500,6037128500,3655,224,191,80,5.2,2.2,3846
6037128601,6037128601,3421,255,94,71,2.7,2.1,3515
6037128602,6037128602,2893,336,97,51,3.4,1.8,2990
6037128702,6037128702,4869,372,110,71,2.3,1.4,4979
6037128801,6037128801,2887,219,131,66,4.5,2.3,3018
6037128802,6037128802,4009,267,153,79,3.8,1.9,4162
6037128910,6037128910,3572,252,144,85,4,2.4,3716
6037131010,6037131010,4863,325,82,46,1.7,1,4945
6037131020,6037131020,4742,419,117,67,2.5,1.4,4859
6037131100,6037131100,2598,191,103,60,4,2.4,2701
6037131200,6037131200,2653,244,160,75,6,2.8,2813
6037131300,6037131300,4064,290,102,59,2.5,1.4,4166
6037131400,6037131400,4900,306,168,65,3.4,1.3,5068
6037131600,6037131600,3968,534,155,65,3.9,1.7,4123
6037131701,6037131701,3753,297,104,70,2.8,1.8,3857
6037131702,6037131702,2965,280,178,56,6,2,3143
6037131800,6037131800,4803,399,154,62,3.2,1.3,4957
6037131900,6037131900,3613,250,175,74,4.8,2.1,3788
6037132001,6037132001,2519,177,128,59,5.1,2.4,2647
6037132002,6037132002,2570,258,134,71,5.2,2.7,2704
6037132101,6037132101,3736,394,162,88,4.3,2.4,3898
6037132102,6037132102,4387,342,240,95,5.5,2.1,4627
6037132300,6037132300,5704,514,157,90,2.8,1.6,5861
6037132501,6037132501,3604,283,103,51,2.9,1.4,3707
6037132502,6037132502,3014,253,85,47,2.8,1.6,3099
6037132700,6037132700,3828,235,242,124,6.3,3.3,4070
6037132900,6037132900,3063,220,117,61,3.8,2,3180
6037133000,6037133000,3468,296,199,83,5.7,2.6,3667
6037133100,6037133100,4677,397,180,76,3.8,1.6,4857
6037134001,6037134001,2895,299,20,25,0.7,0.8,2915
6037134002,6037134002,3229,373,79,42,2.4,1.3,3308
6037134101,6037134101,4510,446,158,67,3.5,1.6,4668
6037134103,6037134103,3582,275,168,86,4.7,2.4,3750
6037134104,6037134104,3437,276,128,55,3.7,1.6,3565
6037134201,6037134201,3556,425,124,56,3.5,1.7,3680
6037134302,6037134302,3027,249,133,91,4.4,3,3160
6037134303,6037134303,5046,419,126,58,2.5,1.2,5172
6037134304,6037134304,2321,163,109,53,4.7,2.3,2430
6037134305,6037134305,3161,267,22,24,0.7,0.8,3183
6037134306,6037134306,3101,288,102,69,3.3,2.2,3203
6037134421,6037134421,2980,231,88,44,3,1.4,3068
6037134422,6037134422,3867,234,228,87,5.9,2.2,4095
6037134423,6037134423,2956,209,206,81,7,2.6,3162
6037134424,6037134424,2275,118,113,39,5,1.7,2388
6037134520,6037134520,4473,295,37,40,0.8,0.9,4510
6037134521,6037134521,2391,240,9,13,0.4,0.5,2400
6037134522,6037134522,2686,285,77,44,2.9,1.7,2763
6037134710,6037134710,4278,356,90,53,2.1,1.2,4368
6037134720,6037134720,3696,328,80,48,2.2,1.3,3776
6037134800,6037134800,5122,341,124,61,2.4,1.2,5246
6037134901,6037134901,2290,200,103,52,4.5,2.3,2393
6037134903,6037134903,4863,374,72,50,1.5,1,4935
6037134904,6037134904,3636,414,78,41,2.1,1.2,3714
6037134905,6037134905,3636,302,48,36,1.3,1,3684
6037135102,6037135102,3249,192,219,84,6.7,2.6,3468
6037135111,6037135111,2562,198,77,46,3,1.7,2639
6037135113,6037135113,2473,221,131,49,5.3,2.1,2604
6037135114,6037135114,4188,418,177,119,4.2,2.8,4365
6037135201,6037135201,2139,181,101,41,4.7,1.8,2240
6037135202,6037135202,3461,301,97,57,2.8,1.6,3558
6037135203,6037135203,5850,333,142,70,2.4,1.2,5992
6037137000,6037137000,3962,213,154,69,3.9,1.8,4116
6037137103,6037137103,4266,317,226,115,5.3,2.7,4492
6037137104,6037137104,2262,188,100,44,4.4,1.9,2362
6037137201,6037137201,4722,458,347,149,7.3,3.2,5069
6037137301,6037137301,1813,133,92,38,5.1,2,1905
6037137302,6037137302,3681,224,200,59,5.4,1.7,3881
6037137401,6037137401,3318,265,161,79,4.9,2.2,3479
6037137402,6037137402,3980,326,419,145,10.5,3.6,4399
6037137501,6037137501,3614,387,163,67,4.5,1.8,3777
6037137502,6037137502,3561,302,254,97,7.1,2.7,3815
6037137504,6037137504,1639,262,77,31,4.7,2.2,1716
6037138000,6037138000,3791,283,182,73,4.8,1.9,3973
6037139001,6037139001,4248,259,142,83,3.3,2,4390
6037139200,6037139200,4566,379,107,87,2.3,1.9,4673
6037139301,6037139301,3792,353,128,64,3.4,1.8,3920
6037139302,6037139302,4163,389,196,105,4.7,2.5,4359
6037139303,6037139303,3628,274,83,54,2.3,1.5,3711
6037139401,6037139401,2315,164,184,87,7.9,3.7,2499
6037139402,6037139402,2020,157,63,30,3.1,1.5,2083
6037139502,6037139502,2534,285,64,45,2.5,1.9,2598
6037139503,6037139503,4932,412,125,105,2.5,2.2,5057
6037139504,6037139504,3539,231,53,36,1.5,1,3592
6037139600,6037139600,4101,372,121,62,3,1.6,4222
6037139701,6037139701,4472,414,313,122,7,2.8,4785
6037139702,6037139702,4505,281,169,81,3.8,1.8,4674
6037139703,6037139703,2254,150,94,42,4.2,1.9,2348
6037139801,6037139801,2666,249,146,60,5.5,2.3,2812
6037139802,6037139802,3294,343,118,46,3.6,1.4,3412
6037141101,6037141101,4016,330,125,81,3.1,2,4141
6037141102,6037141102,2533,207,94,57,3.7,2.2,2627
6037141201,6037141201,3732,228,91,56,2.4,1.5,3823
6037141202,6037141202,2317,191,72,48,3.1,2,2389
6037141302,6037141302,5234,547,199,152,3.8,2.9,5433
6037141303,6037141303,2913,228,104,66,3.6,2.2,3017
6037141304,6037141304,2387,195,62,37,2.6,1.5,2449
6037141400,6037141400,3912,245,176,69,4.5,1.7,4088
6037141500,6037141500,2244,187,135,63,6,2.7,2379
6037141600,6037141600,3395,205,110,52,3.2,1.6,3505
6037141700,6037141700,2504,193,139,62,5.6,2.5,2643
6037143100,6037143100,3840,372,322,149,8.4,4.1,4162
6037143200,6037143200,3696,380,106,61,2.9,1.7,3802
6037143300,6037143300,5793,358,158,77,2.7,1.4,5951
6037143400,6037143400,5397,373,231,105,4.3,1.9,5628
6037143500,6037143500,3848,246,66,46,1.7,1.2,3914
6037143602,6037143602,3798,324,200,90,5.3,2.3,3998
6037143603,6037143603,2078,178,90,46,4.3,2.1,2168
6037143604,6037143604,3105,282,109,59,3.5,1.9,3214
6037143700,6037143700,3438,317,81,48,2.4,1.5,3519
6037143800,6037143800,4538,352,196,129,4.3,2.8,4734
6037143901,6037143901,3235,261,89,49,2.8,1.5,3324
6037143902,6037143902,2493,178,49,36,2,1.4,2542
6037181000,6037181000,5132,348,296,129,5.8,2.6,5428
6037181300,6037181300,3364,263,123,53,3.7,1.6,3487
6037181400,6037181400,3723,279,120,58,3.2,1.5,3843
6037181500,6037181500,3143,218,147,75,4.7,2.5,3290
6037181600,6037181600,3974,261,89,41,2.2,1,4063
6037183101,6037183101,2893,278,108,56,3.7,1.9,3001
6037183103,6037183103,3462,322,118,65,3.4,1.9,3580
6037183104,6037183104,1848,152,123,51,6.7,2.7,1971
6037183220,6037183220,3158,338,88,71,2.8,2.2,3246
6037183221,6037183221,2510,259,41,46,1.6,1.8,2551
6037183222,6037183222,2882,321,139,70,4.8,2.3,3021
6037183300,6037183300,2746,225,72,38,2.6,1.4,2818
6037183401,6037183401,1883,162,75,47,4,2.4,1958
6037183402,6037183402,2544,271,19,17,0.7,0.7,2563
6037183510,6037183510,2134,211,78,32,3.7,1.5,2212
6037183520,6037183520,2833,299,31,24,1.1,0.8,2864
6037183610,6037183610,2626,280,68,36,2.6,1.4,2694
6037183620,6037183620,2320,182,54,36,2.3,1.5,2374
6037183701,6037183701,3111,285,88,75,2.8,2.4,3199
6037183702,6037183702,2322,266,123,75,5.3,3.1,2445
6037183810,6037183810,3291,261,65,59,2,1.8,3356
6037183820,6037183820,2753,303,74,91,2.7,3.2,2827
6037185100,6037185100,5266,625,183,83,3.5,1.6,5449
6037185202,6037185202,3360,355,129,75,3.8,2.2,3489
6037185203,6037185203,2769,240,30,23,1.1,0.8,2799
6037185204,6037185204,1625,113,114,44,7,2.7,1739
6037185310,6037185310,2457,320,38,29,1.5,1.1,2495
6037185320,6037185320,2357,230,16,14,0.7,0.6,2373
6037186100,6037186100,4142,240,134,61,3.2,1.5,4276
6037186201,6037186201,2801,283,117,72,4.2,2.6,2918
6037186202,6037186202,1674,159,57,35,3.4,2.1,1731
6037186203,6037186203,2392,226,110,83,4.6,3.6,2502
6037186301,6037186301,2350,234,20,18,0.9,0.8,2370
6037186302,6037186302,4287,368,89,47,2.1,1.1,4376
6037186401,6037186401,2616,225,21,16,0.8,0.6,2637
6037186403,6037186403,2281,205,92,45,4,2,2373
6037186404,6037186404,2170,155,26,22,1.2,1,2196
6037187101,6037187101,2752,304,37,27,1.3,1,2789
6037187102,6037187102,2679,255,34,45,1.3,1.7,2713
6037187200,6037187200,2366,207,26,17,1.1,0.7,2392
6037187300,6037187300,2843,266,38,29,1.3,1,2881
6037188100,6037188100,3524,303,42,43,1.2,1.2,3566
6037188201,6037188201,3053,254,82,37,2.7,1.2,3135
6037188202,6037188202,2099,151,31,26,1.5,1.3,2130
6037188300,6037188300,3101,317,60,47,1.9,1.5,3161
6037189101,6037189101,2215,209,111,71,5,3.2,2326
6037189102,6037189102,2822,173,38,27,1.3,1,2860
6037189201,6037189201,3282,214,74,41,2.3,1.3,3356
6037189202,6037189202,2048,213,74,43,3.6,2.1,2122
6037189300,6037189300,2532,247,81,37,3.2,1.5,2613
6037189400,6037189400,3057,278,135,69,4.4,2.3,3192
6037189500,6037189500,3786,354,116,73,3.1,1.9,3902
6037189600,6037189600,3327,323,128,97,3.8,2.9,3455
6037189701,6037189701,3182,310,114,80,3.6,2.5,3296
6037189702,6037189702,1832,183,61,61,3.3,3.3,1893
6037189800,6037189800,3640,298,37,44,1,1.2,3677
6037189902,6037189902,5088,281,99,74,1.9,1.4,5187
6037189903,6037189903,2107,177,58,40,2.8,1.9,2165
6037189904,6037189904,2375,240,27,42,1.1,1.8,2402
6037189905,6037189905,2118,193,16,17,0.8,0.8,2134
6037190100,6037190100,4439,450,26,33,0.6,0.7,4465
6037190201,6037190201,2288,275,76,96,3.3,4.1,2364
6037190202,6037190202,3237,320,50,48,1.5,1.5,3287
6037190301,6037190301,5475,582,181,112,3.3,2.1,5656
6037190401,6037190401,2871,215,32,27,1.1,1,2903
6037190402,6037190402,2309,193,103,103,4.5,4.5,2412
6037190510,6037190510,3776,279,64,54,1.7,1.4,3840
6037190520,6037190520,3257,204,59,40,1.8,1.3,3316
6037190700,6037190700,2811,390,80,123,2.8,4.3,2891
6037190801,6037190801,2373,479,54,38,2.3,1.8,2427
6037190802,6037190802,2541,249,25,26,1,1,2566
6037190901,6037190901,3671,353,62,56,1.7,1.6,3733
6037190902,6037190902,3275,333,79,51,2.4,1.6,3354
6037191000,6037191000,3722,428,81,59,2.2,1.5,3803
6037191110,6037191110,3557,506,50,46,1.4,1.3,3607
6037191120,6037191120,3649,315,106,46,2.9,1.3,3755
6037191201,6037191201,3899,510,106,88,2.7,2.2,4005
6037191203,6037191203,2150,173,17,22,0.8,1,2167
6037191204,6037191204,1815,158,15,15,0.8,0.8,1830
6037191301,6037191301,2115,191,18,17,0.9,0.8,2133
6037191302,6037191302,1887,177,44,26,2.3,1.4,1931
6037191410,6037191410,3711,360,70,55,1.9,1.5,3781
6037191420,6037191420,3010,323,155,177,5.1,5.8,3165
6037191500,6037191500,4758,389,88,56,1.8,1.2,4846
6037191610,6037191610,3292,334,21,28,0.6,0.9,3313
6037191620,6037191620,2382,281,26,18,1.1,0.8,2408
6037191710,6037191710,2239,202,44,35,2,1.6,2283
6037191720,6037191720,2735,315,9,15,0.3,0.5,2744
6037191810,6037191810,2975,379,19,22,0.6,0.7,2994
6037191820,6037191820,2634,342,53,39,2,1.5,2687
6037191901,6037191901,2873,295,106,56,3.7,1.9,2979
6037191902,6037191902,2144,236,60,39,2.8,1.8,2204
6037192001,6037192001,2172,207,60,58,2.8,2.6,2232
6037192002,6037192002,2402,264,45,53,1.9,2.2,2447
6037192300,6037192300,2127,172,95,45,4.5,2,2222
6037192410,6037192410,3345,300,102,50,3,1.5,3447
6037192420,6037192420,3486,380,8,13,0.2,0.4,3494
6037192510,6037192510,3020,271,16,18,0.5,0.6,3036
6037192520,6037192520,3653,273,53,44,1.5,1.2,3706
6037192610,6037192610,3507,353,79,58,2.3,1.7,3586
6037192620,6037192620,2828,308,8,12,0.3,0.4,2836
6037192700,6037192700,3280,486,89,45,2.7,1.4,3369
6037194101,6037194101,3029,291,71,40,2.3,1.3,3100
6037194102,6037194102,2949,201,135,57,4.6,1.9,3084
6037194200,6037194200,3026,406,109,52,3.6,1.8,3135
6037194300,6037194300,3019,512,66,33,2.2,1.1,3085
6037194401,6037194401,2293,242,38,25,1.7,1.1,2331
6037194402,6037194402,3481,297,35,39,1,1.1,3516
6037194500,6037194500,1670,135,41,33,2.5,2,1711
