GEO_id2,Civilian_EST_Tot_Pop
6037242600,3028
6037242700,3809
6037243000,4557
6037243100,3864
6037261101,2947
6037261102,3097
6037261200,3409
6037262100,2477
6037262200,3714
6037262301,2362
6037262302,2254
6037262303,2362
6037262400,2206
6037262501,2777
6037262601,2679
6037262604,4637
6037262704,2838
6037262706,2798
6037262802,2436
6037264000,2500
6037264102,2526
6037264103,2456
6037264301,4785
6037264302,5012
6037265100,2221
6037265201,2452
6037265202,3135
6037265301,10223
6037265303,4669
6037265304,3099
6037265305,3888
6037265410,1169
6037265420,1503
6037265510,4048
6037265520,4206
6037265601,2832
6037265602,2517
6037265700,4387
6037267100,5690
6037267200,5399
6037267300,4415
6037267402,4591
6037267403,3081
6037267404,2881
6037267501,5902
6037267502,2948
6037267600,2273
6037267700,2863
6037267800,2174
6037267901,2104
6037267902,2792
6037269000,4428
6037269100,3189
6037269300,2830
6037269500,2764
6037269601,2666
6037269602,2537
6037269700,3277
6037269800,2694
6037269903,3298
6037269904,3420
6037269905,2258
6037269906,2573
6037269907,2639
6037270100,3832
6037270200,2989
6037270300,2014
6037271100,1998
6037271200,2357
6037271300,3681
6037271400,2935
6037271500,2546
6037271600,3889
6037271701,4897
6037271702,3434
6037271801,3132
6037271802,4809
6037271901,2787
6037271902,3468
6037272100,3675
6037272201,2266
6037272202,3140
6037272301,2739
6037272302,3513
6037273100,2101
6037273200,2741
6037273300,2652
6037273402,2684
6037273502,2663
6037273600,1938
6037273700,2410
6037273800,2632
6037273902,3640
6037274100,3698
6037274202,3897
6037275101,1078
6037275102,3043
6037275200,3339
6037275302,4261
6037275311,5014
6037275400,3194
6037275500,4516
6037275602,7836
6037275603,2321
6037276000,4547
6037276100,5084
6037276400,3479
6037276500,5154
6037276601,3530
6037276603,4751
6037276604,4008
6037277000,4454
6037277100,2506
6037277200,1988
6037277400,1152
6037278001,2093
6037278102,2905
6037291110,2767
6037291120,1735
6037291130,2787
6037291210,4132
6037291220,2835
6037291300,2260
6037292000,4612
6037293201,5468
6037293202,4189
6037293301,2540
6037293302,4237
6037293304,3456
6037293306,2048
6037293307,2052
6037294110,3060
6037294120,1609
6037294200,3708
6037294301,2041
6037294302,3172
6037294410,3344
6037294421,2169
6037294510,3263
6037294520,2493
6037294610,3111
6037294620,3449
6037294701,2192
6037294810,2753
6037294820,2429
6037294830,2558
6037294900,2459
6037295103,4231
6037296210,2272
6037296220,3121
6037296300,3960
6037296401,2700
6037296402,2471
6037296500,2940
6037296600,3761
6037296901,3037
6037296902,3034
6037297000,4236
6037297110,3629
6037297120,2529
6037297201,2996
6037297202,3261
6037297300,1416
6037297400,3031
6037297500,4015
6037297601,1838
6037297602,3248
6037300100,4407
6037300200,4332
6037300301,4787
6037300400,4688
6037300501,2411
6037300502,4689
6037300600,7395
6037300701,4863
6037300702,4162
6037300800,6248
6037300901,5227
6037300902,1707
6037301000,3964
6037301100,5619
6037301203,3896
6037301204,4568
6037301205,1784
6037301206,4401
6037301300,1536
6037301400,3144
6037301501,1660
6037301502,5626
6037301601,5783
6037301602,3524
6037301701,2543
6037301702,4718
6037301801,3996
6037301802,3350
6037301900,6725
6037302002,3201
6037302003,3355
6037302004,3700
6037302102,5249
6037302103,5007
6037302104,3347
6037302201,3151
6037302202,4353
6037302301,3580
6037302302,4464
6037302401,5308
6037302503,3461
6037302504,3440
6037302505,3392
6037302506,2888
6037310100,4731
6037310201,4439
6037310202,4184
6037310300,2133
6037310400,2595
6037310501,3207
6037310601,5182
6037310602,2177
6037310701,2070
6037310702,6216
6037310703,3995
6037310800,4139
6037310900,5193
6037311000,2940
6037311100,3171
6037311200,2571
6037311300,3134
6037311400,1892
6037311500,4490
6037311600,6020
6037311700,4893
6037311801,2359
6037311802,3120
6037320000,0
6037320100,5661
6037320201,3061
6037320202,4206
6037320300,5179
6037400204,4706
6037400205,2318
6037400206,4099
6037400207,3584
6037400302,2389
6037400304,5867
6037400402,3328
6037400403,3325
6037400404,3589
6037400501,1720
6037400602,3263
6037400603,3823
6037400604,2406
6037400800,6279
6037400900,3372
6037401001,2463
6037401002,2929
6037401101,3933
6037401102,2472
6037401201,2467
6037401202,3810
6037401203,4277
6037401303,1853
6037401304,4863
6037401311,4622
6037401312,4542
6037401500,4835
6037401601,4397
6037401602,4369
6037401603,2323
6037401701,3594
6037401703,3451
6037401704,4861
6037401800,6557
6037401901,3928
6037401902,4856
6037402001,2347
6037402002,3173
6037402101,3906
6037402102,3626
6037402200,5463
6037402301,4084
6037402303,2866
6037402304,3013
6037402402,5028
6037402403,4186
6037402404,1905
6037402405,2175
6037402406,3675
6037402501,3950
6037402502,4803
6037402600,5681
6037402702,4067
6037402703,3562
6037402705,2594
6037402706,3178
6037402801,3069
6037402803,2167
6037402804,2829
6037402902,5189
6037402903,3117
6037402904,2753
6037403000,5660
6037403200,643
6037403303,2194
6037403304,4316
6037403305,1704
6037403312,3984
6037403316,5541
6037403317,3739
6037403318,4978
6037403319,3553
6037403320,4048
6037403321,5057
6037403322,3058
6037403323,4338
6037403324,5864
6037403325,4093
6037403401,4309
6037403402,2963
6037403403,3934
6037403404,2221
6037403405,1355
6037403406,2359
6037403407,1704
6037403408,5503
6037403500,1529
6037403600,5250
6037403702,3006
6037403703,3980
6037403721,3790
6037403722,3912
6037403801,4907
6037403802,4748
6037403901,2700
6037403902,4004
6037404000,3783
6037404100,5190
6037404201,2746
6037404202,3283
6037404301,4089
6037404302,1737
6037404401,2878
6037404402,3664
6037404501,1838
6037404503,2206
6037404504,3529
6037404600,1016
6037404701,4239
6037404702,4137
6037404703,2374
6037404801,6120
6037404802,3411
6037404803,1308
6037404901,4517
6037404902,3214
6037404903,2054
6037405001,4708
6037405002,2395
6037405101,4325
6037405102,3339
6037405201,3718
6037405202,3965
6037405203,2973
6037405301,2640
6037405302,4626
6037405400,4140
6037405500,5188
6037405600,4453
6037405701,2874
6037405702,3942
6037405800,4375
6037405900,3022
6037406000,3912
6037406101,2646
6037406102,4670
6037406200,4515
6037406300,4449
6037406402,1729
6037406411,1695
6037406412,1974
6037406500,5051
6037406601,4590
6037406602,4538
6037406701,2451
6037406702,4693
6037406800,3856
6037406901,3577
6037406902,3006
6037407001,5049
6037407002,2798
6037407101,3518
6037407102,4409
6037407200,5534
6037407301,3966
6037407302,2775
6037407400,1650
6037407501,3347
6037407502,3157
