GEOID,GEO_id2,Total_POP_EST
6037235100,6037235100,4141
6037235201,6037235201,2478
6037235202,6037235202,3767
6037236000,6037236000,4283
6037236100,6037236100,4952
6037236202,6037236202,4541
6037236203,6037236203,2726
6037236204,6037236204,2325
6037236400,6037236400,3950
6037237101,6037237101,2755
6037237102,6037237102,2271
6037237201,6037237201,2839
6037237202,6037237202,3460
6037237300,6037237300,4135
6037237401,6037237401,3001
6037237402,6037237402,2501
6037237500,6037237500,2024
6037237600,6037237600,2894
6037237710,6037237710,2690
6037237720,6037237720,2205
6037237800,6037237800,3184
6037237900,6037237900,3404
6037238000,6037238000,5004
6037238100,6037238100,3663
6037238200,6037238200,4151
6037238310,6037238310,3756
6037238320,6037238320,2486
6037238400,6037238400,4503
6037239201,6037239201,2674
6037239202,6037239202,3693
6037239310,6037239310,2869
6037239320,6037239320,2920
6037239330,6037239330,2049
6037239501,6037239501,2716
6037239502,6037239502,2602
6037239601,6037239601,2442
6037239602,6037239602,2557
6037239701,6037239701,3110
6037239702,6037239702,2910
6037239801,6037239801,2187
6037239802,6037239802,3751
6037240010,6037240010,2540
6037240020,6037240020,3941
6037240200,6037240200,3711
6037240300,6037240300,3440
6037240401,6037240401,3776
6037240402,6037240402,2723
6037240500,6037240500,4328
6037240600,6037240600,4162
6037240700,6037240700,4738
6037240800,6037240800,3277
6037240900,6037240900,4107
6037241001,6037241001,3229
6037241002,6037241002,2587
6037241110,6037241110,2330
6037241120,6037241120,3644
6037241201,6037241201,2346
6037241202,6037241202,3752
6037241300,6037241300,1875
6037241400,6037241400,2534
6037242000,6037242000,2982
6037242100,6037242100,1478
6037242200,6037242200,4353
6037242300,6037242300,3264
6037242600,6037242600,3052
6037242700,6037242700,3874
6037243000,6037243000,4595
6037243100,6037243100,3915
6037261101,6037261101,3045
6037261102,6037261102,3309
6037261200,6037261200,3553
6037262100,6037262100,2574
6037262200,6037262200,3849
6037262301,6037262301,2424
6037262302,6037262302,2320
6037262303,6037262303,2484
6037262400,6037262400,2336
6037262501,6037262501,3011
6037262601,6037262601,2783
6037262604,6037262604,5044
6037262704,6037262704,2942
6037262706,6037262706,3052
6037262802,6037262802,2531
6037264000,6037264000,2672
6037264102,6037264102,2608
6037264103,6037264103,2508
6037264301,6037264301,4917
6037264302,6037264302,5181
6037265100,6037265100,2461
6037265201,6037265201,2516
6037265202,6037265202,3224
6037265301,6037265301,10223
6037265303,6037265303,4696
6037265304,6037265304,3100
6037265305,6037265305,3888
6037265410,6037265410,1186
6037265420,6037265420,1556
6037265510,6037265510,4141
6037265520,6037265520,4348
6037265601,6037265601,2955
6037265602,6037265602,2645
6037265700,6037265700,4539
6037267100,6037267100,5793
6037267200,6037267200,5441
6037267300,6037267300,4542
6037267402,6037267402,4645
6037267403,6037267403,3172
6037267404,6037267404,2934
6037267501,6037267501,5932
6037267502,6037267502,2978
6037267600,6037267600,2309
6037267700,6037267700,2897
6037267800,6037267800,2228
6037267901,6037267901,2270
6037267902,6037267902,2912
6037269000,6037269000,4565
6037269100,6037269100,3279
6037269300,6037269300,2928
6037269500,6037269500,2831
6037269601,6037269601,2733
6037269602,6037269602,2606
6037269700,6037269700,3339
6037269800,6037269800,2746
6037269903,6037269903,3359
6037269904,6037269904,3506
6037269905,6037269905,2310
6037269906,6037269906,2641
6037269907,6037269907,2652
6037270100,6037270100,3931
6037270200,6037270200,3083
6037270300,6037270300,2092
6037271100,6037271100,2063
6037271200,6037271200,2384
6037271300,6037271300,3780
6037271400,6037271400,3109
6037271500,6037271500,2720
6037271600,6037271600,3990
6037271701,6037271701,5106
6037271702,6037271702,3478
6037271801,6037271801,3211
6037271802,6037271802,4890
6037271901,6037271901,2883
6037271902,6037271902,3580
6037272100,6037272100,3808
6037272201,6037272201,2354
6037272202,6037272202,3175
6037272301,6037272301,2808
6037272302,6037272302,3661
6037273100,6037273100,2198
6037273200,6037273200,2826
6037273300,6037273300,2693
6037273402,6037273402,2770
6037273502,6037273502,2724
6037273600,6037273600,1965
6037273700,6037273700,2505
6037273800,6037273800,2727
6037273902,6037273902,3768
6037274100,6037274100,3843
6037274202,6037274202,4071
6037275101,6037275101,1082
6037275102,6037275102,3190
6037275200,6037275200,3427
6037275302,6037275302,4465
6037275311,6037275311,5220
6037275400,6037275400,3406
6037275500,6037275500,4600
6037275602,6037275602,8097
6037275603,6037275603,2480
6037276000,6037276000,4955
6037276100,6037276100,5401
6037276400,6037276400,3634
6037276500,6037276500,5215
6037276601,6037276601,3709
6037276603,6037276603,5002
6037276604,6037276604,4212
6037277000,6037277000,4690
6037277100,6037277100,2610
6037277200,6037277200,2036
6037277400,6037277400,1181
6037278001,6037278001,2191
6037278102,6037278102,3008
6037291110,6037291110,2886
6037291120,6037291120,1766
6037291130,6037291130,2872
6037291210,6037291210,4317
6037291220,6037291220,2912
6037291300,6037291300,2435
6037292000,6037292000,4666
6037293201,6037293201,5621
6037293202,6037293202,4282
6037293301,6037293301,2679
6037293302,6037293302,4371
6037293304,6037293304,3638
6037293306,6037293306,2129
6037293307,6037293307,2111
6037294110,6037294110,3200
6037294120,6037294120,1614
6037294200,6037294200,3797
6037294301,6037294301,2115
6037294302,6037294302,3272
6037294410,6037294410,3449
6037294421,6037294421,2235
6037294510,6037294510,3342
6037294520,6037294520,2536
6037294610,6037294610,3153
6037294620,6037294620,3487
6037294701,6037294701,2234
6037294810,6037294810,2788
6037294820,6037294820,2481
6037294830,6037294830,2576
6037294900,6037294900,2517
6037295103,6037295103,4522
6037296210,6037296210,2317
6037296220,6037296220,3197
6037296300,6037296300,4198
6037296401,6037296401,2816
6037296402,6037296402,2661
6037296500,6037296500,3000
6037296600,6037296600,3954
6037296901,6037296901,3120
6037296902,6037296902,3267
6037297000,6037297000,4582
6037297110,6037297110,3770
6037297120,6037297120,2585
6037297201,6037297201,3109
6037297202,6037297202,3412
6037297300,6037297300,1612
6037297400,6037297400,3270
6037297500,6037297500,4235
6037297601,6037297601,2199
6037297602,6037297602,3346
6037300100,6037300100,4711
6037300200,6037300200,4534
6037300301,6037300301,4972
6037300400,6037300400,4961
6037300501,6037300501,2505
6037300502,6037300502,4831
6037300600,6037300600,7648
6037300701,6037300701,5247
6037300702,6037300702,4212
6037300800,6037300800,6457
6037300901,6037300901,5535
6037300902,6037300902,1801
6037301000,6037301000,4059
