GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Civilian_Stadard_Error,Veteran_EST,Veteran_MOE,Veteran_Standard_Error
6037910101,1245,112,68.09,31,118,14.55
6037124105,2068,148,89.97,32,20,14.55
6037190401,2871,215,130.7,32,29,14.55
6037227020,2494,235,142.86,32,39,15.15
6037228320,2160,252,153.19,32,39,15.15
6037310501,3207,342,207.9,32,49,15.15
6037404302,1737,187,113.68,32,53,15.15
6037482303,4705,529,321.58,32,63,15.15
6037531603,2246,200,121.58,32,67,15.15
6037534900,4422,489,297.26,32,70,15.15
6037535001,3040,259,157.45,32,70,15.15
6037106648,3051,208,126.44,33,12,15.15
6037122200,2868,308,187.23,33,18,15.15
6037213402,3406,371,225.53,33,36,15.15
6037217001,2081,174,105.78,33,37,15.15
6037219010,2474,198,120.36,33,38,15.15
6037301501,1660,143,86.93,33,49,15.15
6037534700,3625,269,163.53,33,70,15.15
6037535002,2563,218,132.52,33,70,15.15
6037535803,3344,222,134.95,33,71,15.15
6037542104,2364,255,155.02,33,73,15.15
6037570403,3293,273,165.96,33,81,15.15
6037601802,2869,228,138.6,33,89,15.15
6037104701,2761,246,149.54,34,11,15.15
6037187102,2679,255,155.02,34,28,15.15
6037197600,2001,178,108.21,34,32,15.15
6037204910,2552,227,137.99,34,33,15.15
6037207103,1927,212,128.88,34,34,15.76
6037208904,2992,364,221.28,34,34,15.76
6037209300,3527,331,201.22,34,34,15.76
6037237710,2656,318,193.31,34,41,15.76
6037267700,2863,252,153.19,34,44,15.76
6037482304,2829,237,144.07,34,63,15.76
6037532102,3048,235,142.86,34,68,15.76
6037534201,3034,215,130.7,34,70,15.76
6037601801,2425,195,118.54,34,89,15.76
6037104403,2535,281,170.82,35,10,15.76
6037115103,3397,294,178.72,35,14,15.76
6037117510,2581,260,158.05,35,15,15.76
6037127603,1970,180,109.42,35,21,15.76
6037194402,3481,297,180.55,35,31,15.76
6037195600,2791,259,157.45,35,31,15.76
6037209520,1961,207,125.84,35,34,15.76
6037211701,2288,225,136.78,35,35,15.76
6037212420,2749,336,204.26,35,36,15.76
6037218300,4161,425,258.36,35,37,15.76
6037219902,2932,321,195.14,35,38,15.76
6037224600,2453,211,128.27,35,39,15.76
6037229420,3134,248,150.76,35,40,15.76
6037239310,2834,285,173.25,35,42,15.76
6037272202,3140,227,137.99,35,45,15.76
6037294810,2753,221,134.35,35,47,15.76
6037301802,3350,266,161.7,35,49,15.76
6037302503,3461,270,164.13,35,49,15.76
6037402706,3178,261,158.66,35,52,16.36
6037536104,2958,179,108.81,35,71,16.36
6037575801,1508,158,96.05,35,85,16.36
6037800330,788,69,41.95,35,108,16.36
6037980015,419,93,56.53,35,182,16.36
6037127806,2370,261,158.66,36,21,16.36
6037195803,2405,243,147.72,36,31,16.36
6037201200,1908,169,102.74,36,32,16.36
6037206010,2795,379,230.4,36,33,16.36
6037211121,1776,173,105.17,36,35,16.36
6037211802,3560,351,213.37,36,35,16.36
6037215101,2703,272,165.35,36,36,16.36
6037222600,4535,428,260.18,36,38,16.36
6037228210,2768,244,148.33,36,39,16.36
6037267600,2273,254,154.41,36,44,16.36
6037310701,2070,177,107.6,36,50,16.36
6037532001,2331,308,187.23,36,68,16.36
6037104620,2543,215,130.7,37,11,16.36
6037107010,2314,205,124.62,37,12,16.36
6037120106,3060,282,171.43,37,17,16.36
6037121020,2958,238,144.68,37,17,16.36
6037123902,2223,192,116.72,37,19,16.36
6037124102,3108,303,184.19,37,19,16.36
6037134520,4473,295,179.33,37,24,16.97
6037187101,2752,304,184.8,37,28,16.97
6037189800,3640,298,181.16,37,29,16.97
6037209510,2190,199,120.97,37,34,16.97
6037212203,2389,236,143.47,37,35,16.97
6037240401,3739,430,261.4,37,42,16.97
6037408501,2531,180,109.42,37,56,16.97
6037501804,1486,128,77.81,37,64,16.97
6037533602,3863,358,217.63,37,69,16.97
6037534501,3949,333,202.43,37,70,16.97
6037554103,1261,187,113.68,37,78,16.97
6037570404,2429,175,106.38,37,81,16.97
6037575402,2736,204,124.01,37,84,16.97
6037601700,3825,433,263.22,37,89,16.97
6037185310,2457,320,194.53,38,28,16.97
6037187300,2843,266,161.7,38,28,16.97
6037189102,2822,173,105.17,38,29,16.97
6037194401,2293,242,147.11,38,31,16.97
6037195902,1695,153,93.01,38,32,16.97
6037203600,3728,374,227.36,38,33,16.97
6037209810,2140,236,143.47,38,34,16.97
6037211420,2877,267,162.31,38,35,16.97
6037213310,3050,336,204.26,38,36,16.97
6037243000,4557,571,347.11,38,43,16.97
6037294620,3449,298,181.16,38,47,16.97
6037403407,1704,178,108.21,38,53,16.97
6037404600,1016,101,61.4,38,53,16.97
6037460401,663,60,36.47,38,59,16.97
6037531502,2393,223,135.56,38,67,16.97
6037533901,4253,224,136.17,38,69,16.97
6037535606,1398,213,129.48,38,71,17.58
6037910812,263,71,43.16,38,126,17.58
6037120010,2039,170,103.34,39,16,17.58
6037124204,2155,270,164.13,39,20,17.58
6037219800,2270,183,111.25,39,38,17.58
6037402801,3069,241,146.5,39,52,17.58
6037541606,1720,176,106.99,39,73,17.58
6037542402,2340,222,134.95,39,73,17.58
6037554801,2370,223,135.56,39,80,17.58
6037601600,2946,293,178.12,39,89,17.58
6037900102,528,118,71.73,39,109,17.58
6037122122,1890,204,124.01,40,18,17.58
6037209402,2906,279,169.6,40,34,17.58
6037402804,2829,186,113.07,40,52,17.58
6037462302,2852,263,159.88,40,60,17.58
6037601202,2916,282,171.43,40,88,17.58
6037119341,2352,170,103.34,41,16,17.58
6037183221,2510,259,157.45,41,27,17.58
6037194500,1670,135,82.07,41,31,17.58
6037203500,2214,200,121.58,41,33,17.58
6037209401,2949,313,190.27,41,34,17.58
6037214700,2290,200,121.58,41,36,17.58
6037214902,2601,256,155.62,41,36,17.58
6037239602,2516,223,135.56,41,42,17.58
6037273300,2652,238,144.68,41,45,17.58
6037433401,2255,255,155.02,41,59,17.58
6037433901,4127,441,268.09,41,59,17.58
6037531301,3686,318,193.31,41,67,17.58
6037542103,2765,255,155.02,41,73,17.58
6037188100,3524,303,184.19,42,28,17.58
6037195901,1894,152,92.4,42,32,17.58
6037221120,2432,231,140.43,42,38,17.58
6037222100,3182,343,208.51,42,38,18.18
6037267200,5399,547,332.52,42,44,18.18
6037294610,3111,246,149.54,42,47,18.18
6037294701,2192,189,114.89,42,47,18.18
6037302104,3347,292,177.51,42,49,18.18
6037433101,1881,207,125.84,42,58,18.18
6037530601,2280,221,134.35,42,67,18.18
6037541603,2266,217,131.91,42,73,18.18
6037554203,2946,290,176.29,42,79,18.18
6037231800,3403,337,204.86,43,40,18.18
6037294520,2493,159,96.66,43,47,18.18
6037530802,2594,235,142.86,43,67,18.18
6037534101,1535,157,95.44,43,70,18.18
6037571600,1231,87,52.89,43,82,18.18
6037910714,2658,193,117.33,43,124,18.18
6037930301,798,196,119.15,43,161,18.18
6037117404,3630,315,191.49,44,15,18.18
6037122420,3240,275,167.17,44,18,18.18
6037123206,2135,132,80.24,44,18,18.18
6037123601,4204,286,173.86,44,19,18.18
6037124104,2084,170,103.34,44,20,18.18
6037128210,3619,282,171.43,44,22,18.18
6037128220,2465,280,170.21,44,22,18.18
6037191302,1887,177,107.6,44,30,18.79
6037191710,2239,202,122.8,44,30,18.79
6037203100,3105,260,158.05,44,33,18.79
6037214501,2330,158,96.05,44,36,18.79
6037219901,3374,286,173.86,44,38,18.79
6037271702,3434,269,163.53,44,45,18.79
6037301801,3996,298,181.16,44,49,18.79
6037481712,4820,414,251.67,44,62,18.79
6037127520,3170,289,175.68,45,21,18.79
6037192002,2402,264,160.49,45,30,18.79
6037195802,2259,204,124.01,45,31,18.79
6037208620,3455,277,168.39,45,34,18.79
6037211201,2362,272,165.35,45,35,18.79
6037221601,2299,249,151.37,45,38,18.79
6037237101,2710,239,145.29,45,41,18.79
6037237720,2160,295,179.33,45,41,18.79
6037240800,3232,328,199.39,45,42,18.79
6037296210,2272,339,206.08,45,47,18.79
6037402702,4067,332,201.82,45,52,18.79
6037405701,2874,310,188.45,45,54,18.79
6037204820,1639,203,123.4,46,33,18.79
6037211803,3066,314,190.88,46,35,18.79
6037221303,2218,183,111.25,46,38,18.79
6037229300,3662,295,179.33,46,39,19.39
6037239702,2864,279,169.6,46,42,19.39
6037402803,2167,167,101.52,46,52,19.39
6037500500,2266,245,148.94,46,64,19.39
6037502004,3094,227,137.99,46,65,19.39
6037535701,4396,373,226.75,46,71,19.39
6037620201,1376,119,72.34,46,93,19.39
6037203900,2266,247,150.15,47,33,19.39
6037212410,3704,309,187.84,47,36,19.39
6037240300,3393,447,271.73,47,42,19.39
6037541604,4199,364,221.28,47,73,19.39
6037920023,2110,171,103.95,47,130,19.39
6037108104,1482,171,103.95,48,12,19.39
6037134905,3636,302,183.59,48,25,19.39
6037228600,3245,357,217.02,48,39,19.39
6037277200,1988,201,122.19,48,46,19.39
6037404503,2206,214,130.09,48,53,19.39
6037408301,4404,436,265.05,48,56,19.39
6037430802,3514,418,254.1,48,57,19.39
6037433902,2520,241,146.5,48,59,19.39
6037461700,1304,85,51.67,48,60,19.39
6037540202,4689,354,215.2,48,72,19.39
6037541802,3925,388,235.87,48,73,19.39
6037920026,359,195,118.54,48,130,19.39
6037104201,3641,338,205.47,49,9,19.39
6037108101,1997,148,89.97,49,12,19.39
6037127103,2319,271,164.74,49,21,20
6037127604,2482,234,142.25,49,21,20
6037143902,2493,178,108.21,49,27,20
6037195500,4445,384,233.43,49,31,20
6037197500,3178,248,150.76,49,32,20
6037204300,3466,345,209.73,49,33,20
6037216401,3799,442,268.69,49,37,20
6037302505,3392,253,153.8,49,49,20
6037480903,2453,196,119.15,49,62,20
6037554101,2629,319,193.92,49,78,20
6037113235,1422,130,79.03,50,13,20
6037190202,3237,320,194.53,50,29,20
6037191110,3557,506,307.6,50,30,20
6037201401,3679,305,185.41,50,32,20
6037222500,3798,357,217.02,50,38,20
6037300702,4162,367,223.1,50,48,20
6037403200,643,436,265.05,50,52,20
6037404901,4517,347,210.94,50,53,20
6037405201,3718,344,209.12,50,54,20
6037430200,1004,115,69.91,50,57,20
6037501001,2650,311,189.06,50,64,20
6037540501,5354,385,234.04,50,72,20
6037552400,1870,183,111.25,50,77,20
6037670406,1541,111,67.48,50,99,20
6037123303,2502,199,120.97,51,18,20
6037127220,3690,235,142.86,51,21,20
6037199000,4166,473,287.54,51,32,20
6037208720,3409,317,192.71,51,34,20
6037212101,2725,288,175.08,51,35,20
6037228710,2590,241,146.5,51,39,20
6037243100,3864,390,237.08,51,43,20
6037302002,3201,292,177.51,51,49,20
6037402303,2866,256,155.62,51,51,20
6037404703,2374,197,119.76,51,53,20
6037433402,3413,428,260.18,51,59,20
6037481102,3149,276,167.78,51,62,20
6037481201,3004,233,141.64,51,62,20.61
6037502003,1996,154,93.62,51,65,20.61
6037535804,3909,348,211.55,51,71,20.61
6037543905,3302,254,154.41,51,75,20.61
6037602509,3154,260,158.05,51,91,20.61
6037602801,2786,249,151.37,51,91,20.61
6037115404,2368,161,97.87,52,15,20.61
6037121900,3090,248,150.76,52,17,20.61
6037127605,3069,365,221.88,52,21,20.61
6037208000,5977,537,326.44,52,34,20.61
6037212502,2449,250,151.98,52,36,20.61
6037228800,3481,328,199.39,52,39,20.61
6037239802,3699,310,188.45,52,42,20.61
6037264103,2456,195,118.54,52,43,20.61
6037269800,2694,175,106.38,52,45,20.61
6037269905,2258,198,120.36,52,45,20.61
6037294820,2429,197,119.76,52,47,20.61
6037301206,4401,311,189.06,52,49,20.61
6037301400,3144,325,197.57,52,49,20.61
6037302003,3355,254,154.41,52,49,20.61
6037535902,5262,438,266.26,52,71,20.61
6037600303,2874,307,186.63,52,87,20.61
