GEO_id2,Tot_Pop_Standard_Error 
6037575402,124.01
6037601700,263.22
6037185310,194.53
6037187300,161.7
6037189102,105.17
6037194401,147.11
6037195902,93.01
6037203600,227.36
6037209810,143.47
6037211420,162.31
6037213310,204.26
6037243000,347.11
6037294620,181.16
6037403407,108.21
6037404600,61.4
6037460401,36.47
6037531502,135.56
6037533901,136.17
6037535606,129.48
6037910812,43.16
6037120010,103.34
6037124204,164.13
6037219800,111.25
6037402801,146.5
6037541606,106.99
6037542402,134.95
6037554801,135.56
6037601600,178.12
6037900102,71.73
6037122122,124.01
6037209402,169.6
6037402804,113.07
6037462302,159.88
6037601202,171.43
6037119341,103.34
6037183221,157.45
6037194500,82.07
6037203500,121.58
6037209401,190.27
6037214700,121.58
6037214902,155.62
6037239602,135.56
6037273300,144.68
6037433401,155.02
6037433901,268.09
6037531301,193.31
6037542103,155.02
6037188100,184.19
6037195901,92.4
6037221120,140.43
6037222100,208.51
6037267200,332.52
6037294610,149.54
6037294701,114.89
6037302104,177.51
6037433101,125.84
6037530601,134.35
6037541603,131.91
6037554203,176.29
6037231800,204.86
6037294520,96.66
6037530802,142.86
6037534101,95.44
6037571600,52.89
6037910714,117.33
6037930301,119.15
6037117404,191.49
6037122420,167.17
6037123206,80.24
6037123601,173.86
6037124104,103.34
6037128210,171.43
6037128220,170.21
6037191302,107.6
6037191710,122.8
6037203100,158.05
6037214501,96.05
