GEO_id2,civ_std_err,tot_pop_std_err,vet_std_err,tot_pop_std_err2
6037122200,117.93,117.93,9.09,117.93
6037127102,117.93,117.93,10.91,117.93
6037261102,117.93,117.93,25.45,117.93
6037503201,117.93,117.93,38.79,117.93
6037910207,117.93,117.93,69.09,117.93
6037120104,118.54,118.54,7.88,118.54
6037183701,118.54,118.54,15.76,118.54
6037207502,118.54,118.54,19.39,118.54
6037212101,118.54,118.54,20.61,118.54
6037231800,118.54,118.54,23.03,118.54
6037531503,118.54,118.54,40,118.54
6037534301,118.54,118.54,41.82,118.54
6037543322,118.54,118.54,44.24,118.54
6037121020,119.15,119.15,8.48,119.15
6037121101,119.15,119.15,8.48,119.15
6037127806,119.15,119.15,11.52,119.15
6037199400,119.15,119.15,18.18,119.15
6037208620,119.15,119.15,20,119.15
6037403802,119.15,119.15,31.52,119.15
6037910705,119.15,119.15,71.52,119.15
6037211201,119.76,119.76,20,119.76
6037212203,119.76,119.76,20.61,119.76
6037238310,119.76,119.76,24.24,119.76
6037302506,119.76,119.76,29.09,119.76
6037401901,119.76,119.76,30.3,119.76
6037534302,119.76,119.76,41.82,119.76
6037541700,119.76,119.76,43.03,119.76
6037119700,120.36,120.36,7.88,120.36
6037128302,120.36,120.36,11.52,120.36
6037143901,120.36,120.36,15.15,120.36
6037212202,120.36,120.36,20.61,120.36
6037240401,120.36,120.36,24.85,120.36
6037267402,120.36,120.36,26.06,120.36
6037276601,120.36,120.36,27.27,120.36
6037310800,120.36,120.36,29.7,120.36
6037404600,120.36,120.36,31.52,120.36
6037407102,120.36,120.36,32.12,120.36
6037408724,120.36,120.36,33.33,120.36
6037502301,120.36,120.36,38.18,120.36
6037551700,120.36,120.36,45.45,120.36
6037190301,120.97,120.97,16.97,120.97
6037209510,120.97,120.97,20,120.97
6037501802,120.97,120.97,38.18,120.97
6037540300,120.97,120.97,43.03,120.97
6037542900,120.97,120.97,43.64,120.97
6037701000,120.97,120.97,60,120.97
6037119320,121.58,121.58,7.27,121.58
6037134103,121.58,121.58,12.73,121.58
6037143400,121.58,121.58,15.15,121.58
6037195100,121.58,121.58,17.58,121.58
6037195202,121.58,121.58,17.58,121.58
6037219010,121.58,121.58,21.82,121.58
6037272201,121.58,121.58,26.67,121.58
6037400602,121.58,121.58,29.7,121.58
6037408505,121.58,121.58,33.33,121.58
6037502802,121.58,121.58,38.79,121.58
6037571503,121.58,121.58,48.48,121.58
6037700200,121.58,121.58,59.39,121.58
6037900605,121.58,121.58,65.45,121.58
6037124203,122.19,122.19,10.3,122.19
6037132900,122.19,122.19,12.73,122.19
6037206300,122.19,122.19,19.39,122.19
6037213320,122.19,122.19,20.61,122.19
6037408627,122.19,122.19,33.33,122.19
6037530902,122.19,122.19,39.39,122.19
6037120107,122.8,122.8,7.88,122.8
6037201401,122.8,122.8,18.79,122.8
6037214800,122.8,122.8,21.21,122.8
6037218400,122.8,122.8,21.82,122.8
6037503402,122.8,122.8,38.79,122.8
6037551000,122.8,122.8,45.45,122.8
6037601212,122.8,122.8,52.73,122.8
6037701201,122.8,122.8,60,122.8
6037702502,122.8,122.8,61.21,122.8
6037113211,123.4,123.4,7.27,123.4
6037204200,123.4,123.4,18.79,123.4
6037502401,123.4,123.4,38.18,123.4
6037553503,123.4,123.4,46.67,123.4
6037601301,123.4,123.4,52.73,123.4
6037702700,123.4,123.4,61.21,123.4
6037920042,123.4,123.4,76.97,123.4
6037120105,124.01,124.01,7.88,124.01
6037121010,124.01,124.01,8.48,124.01
6037123204,124.01,124.01,9.7,124.01
6037123410,124.01,124.01,9.7,124.01
6037127711,124.01,124.01,10.91,124.01
6037190902,124.01,124.01,16.97,124.01
6037192700,124.01,124.01,17.58,124.01
6037203200,124.01,124.01,18.79,124.01
6037224020,124.01,124.01,22.42,124.01
6037240800,124.01,124.01,24.85,124.01
6037273402,124.01,124.01,27.27,124.01
6037462500,124.01,124.01,35.76,124.01
6037502402,124.01,124.01,38.79,124.01
6037502700,124.01,124.01,38.79,124.01
6037533105,124.01,124.01,40.61,124.01
6037536102,124.01,124.01,42.42,124.01
6037550901,124.01,124.01,45.45,124.01
6037900705,124.01,124.01,66.06,124.01
6037108104,124.62,124.62,4.85,124.62
6037124201,124.62,124.62,10.3,124.62
6037189800,124.62,124.62,16.36,124.62
6037293306,124.62,124.62,27.88,124.62
6037402501,124.62,124.62,30.91,124.62
6037433402,124.62,124.62,34.55,124.62
6037433503,124.62,124.62,35.15,124.62
6037531602,124.62,124.62,40,124.62
6037603500,124.62,124.62,54.55,124.62
6037141102,125.23,125.23,14.55,125.23
6037300902,125.23,125.23,28.48,125.23
6037550100,125.23,125.23,44.85,125.23
6037104203,125.84,125.84,1,125.84
6037132001,125.84,125.84,12.12,125.84
6037185204,125.84,125.84,15.76,125.84
6037197420,125.84,125.84,18.18,125.84
6037226420,125.84,125.84,23.03,125.84
6037269906,125.84,125.84,26.06,125.84
6037403321,125.84,125.84,30.91,125.84
6037431600,125.84,125.84,34.55,125.84
6037481603,125.84,125.84,36.97,125.84
6037600400,125.84,125.84,52.12,125.84
6037117404,126.44,126.44,7.27,126.44
6037143603,126.44,126.44,15.15,126.44
6037541002,126.44,126.44,43.03,126.44
6037703100,126.44,126.44,61.82,126.44
6037222100,127.05,127.05,22.42,127.05
6037297120,127.05,127.05,28.48,127.05
6037402001,127.05,127.05,30.3,127.05
6037405101,127.05,127.05,32.12,127.05
